event_date|repo                                       |total_pushes|total_commits|last_push              |unique_contributors|total_pr_opened|last_pr_opened_number|last_pr_opened_at      |total_pr_closed|last_pr_closed_number|last_pr_closed_at      |
2015-01-10|cdnjs/new-website                          |          97|           98|2015-01-10 23:48:11.000|                  2|              1|                   32|2015-01-10 15:25:25.000|              1|                   32|2015-01-10 15:28:27.000|
2015-01-23|CocoaPods/Specs                            |          97|           98|2015-01-23 23:38:43.000|                  2|              4|                12927|2015-01-23 22:50:52.000|              4|                12927|2015-01-23 22:57:50.000|
2015-01-26|flynn/flynn                                |          96|          510|2015-01-26 23:46:53.000|                  6|             16|                  839|2015-01-26 23:37:47.000|             15|                  839|2015-01-26 23:46:43.000|
2015-01-19|CocoaPods/Specs                            |          96|           96|2015-01-19 23:41:32.000|                  1|              2|                12915|2015-01-19 17:56:33.000|              2|                12915|2015-01-19 18:02:52.000|
2015-01-19|Divyanshu666/Grocery-prototype             |          96|          116|2015-01-19 11:06:40.000|                  1|              1|                    1|2015-01-19 11:01:20.000|              1|                    1|2015-01-19 11:05:48.000|
2015-01-16|caskdata/cdap                              |          95|          407|2015-01-16 23:48:30.000|                 14|             14|                  989|2015-01-16 22:43:50.000|             15|                  987|2015-01-16 23:47:02.000|
2015-01-11|sagemath/grant-europe                      |          95|          183|2015-01-11 23:50:40.000|                 21|              3|                   22|2015-01-11 22:34:39.000|              3|                   22|2015-01-11 22:48:50.000|
2015-02-08|GrannyCookies/scratchext2                  |          95|           96|2015-02-08 21:13:17.000|                  2|              1|                    2|2015-02-08 11:05:13.000|              1|                    2|2015-02-08 11:18:19.000|
2015-01-29|asu-cis-capstone/tooltime                  |          95|           99|2015-01-29 14:50:06.000|                  2|              3|                   15|2015-01-29 06:29:41.000|              5|                   15|2015-01-29 06:30:01.000|
2015-01-29|CocoaPods/Specs                            |          94|           95|2015-01-29 23:55:47.000|                  2|              3|                12937|2015-01-29 19:24:51.000|              2|                12937|2015-01-29 19:44:23.000|
2015-01-28|edx/edx-platform                           |          94|          670|2015-01-28 23:53:20.000|                 28|             17|                 6805|2015-01-28 23:37:35.000|             20|                 6804|2015-01-28 23:30:17.000|
2015-02-15|MidNight-Waffles/MidNight-Waffles.github.io|          94|           95|2015-02-15 16:01:52.000|                  1|              1|                    1|2015-02-15 00:59:22.000|              1|                    1|2015-02-15 01:15:35.000|
2015-01-31|techjewel/CWC-Project                      |          94|          401|2015-01-31 09:55:08.000|                  4|             26|                   93|2015-01-31 09:54:18.000|             26|                   93|2015-01-31 09:54:22.000|
2015-02-03|cms-sw/cmssw                               |          94|          829|2015-02-03 23:00:52.000|                  3|             38|                 7549|2015-02-03 22:59:27.000|             51|                 7543|2015-02-03 23:00:40.000|
2015-01-20|angular/material                           |          94|          138|2015-01-20 22:23:31.000|                  3|              5|                 1243|2015-01-20 22:00:21.000|              3|                 1238|2015-01-20 22:44:26.000|
2015-01-04|jeff1evesque/machine-learning              |          94|          331|2015-01-04 23:15:45.000|                  1|             14|                  893|2015-01-04 23:15:39.000|             14|                  893|2015-01-04 23:15:45.000|
2015-01-01|gnenbu/gn_enbu_chs                         |          94|          103|2015-01-01 16:58:48.000|                  2|              1|                    5|2015-01-01 16:58:41.000|              1|                    5|2015-01-01 16:58:48.000|
2015-02-10|CocoaPods/Specs                            |          93|           94|2015-02-10 23:34:11.000|                  2|              5|                12954|2015-02-10 17:52:43.000|              5|                12954|2015-02-10 18:14:34.000|
2015-01-30|edx/edx-platform                           |          93|          416|2015-01-30 22:48:01.000|                 27|             18|                 6848|2015-01-30 22:41:39.000|             23|                 6842|2015-01-30 22:47:17.000|
2015-01-20|mantidproject/mantid                       |          93|          310|2015-01-20 22:31:02.000|                 12|              2|                  131|2015-01-20 16:32:11.000|              2|                  124|2015-01-20 16:57:45.000|
2015-01-25|gophergala/ImgurGo                         |          92|          380|2015-01-25 23:36:26.000|                  4|             29|                   43|2015-01-25 23:31:05.000|             31|                   43|2015-01-25 23:36:25.000|
2015-02-12|CocoaPods/Specs                            |          91|           91|2015-02-12 23:20:51.000|                  1|              1|                12957|2015-02-12 06:04:12.000|              1|                12957|2015-02-12 13:57:49.000|
2015-01-12|Hitakashi/Hitbox-API                       |          91|          132|2015-01-12 04:20:01.000|                  1|              6|                    9|2015-01-12 04:09:38.000|              6|                    9|2015-01-12 04:09:41.000|
2015-02-10|edx/edx-platform                           |          90|          359|2015-02-10 23:13:00.000|                 23|             12|                 6952|2015-02-10 23:07:47.000|             18|                 6950|2015-02-10 21:21:38.000|
2015-02-10|CalderaWP/cwp-theme                        |          90|           92|2015-02-10 22:44:44.000|                  2|              2|                    2|2015-02-10 12:28:19.000|              2|                    2|2015-02-10 12:29:15.000|
2015-02-13|CocoaPods/Specs                            |          90|           91|2015-02-13 23:48:50.000|                  2|              1|                12958|2015-02-13 08:29:01.000|              1|                12958|2015-02-13 18:14:50.000|
2015-01-16|guardian/frontend                          |          90|          387|2015-01-16 22:06:22.000|                 15|             30|                 7846|2015-01-16 22:03:18.000|             31|                 7840|2015-01-16 17:55:47.000|
2015-01-16|ClarkZinzow/clarkzinzow.github.io          |          90|          106|2015-01-16 23:57:59.000|                  1|              3|                    4|2015-01-16 09:00:54.000|              3|                    4|2015-01-16 09:01:00.000|
2015-01-22|CocoaPods/Specs                            |          89|           89|2015-01-22 23:48:45.000|                  1|              3|                12921|2015-01-22 18:01:04.000|              3|                12921|2015-01-22 18:07:30.000|
2015-01-30|flynn/flynn                                |          89|          427|2015-01-30 23:55:17.000|                  5|             16|                  909|2015-01-30 23:54:08.000|             18|                  904|2015-01-30 23:24:13.000|
2015-01-01|cachethq/Cachet                            |          89|          238|2015-01-01 22:13:57.000|                  3|             34|                  234|2015-01-01 23:54:48.000|             30|                  228|2015-01-01 22:13:57.000|
2015-01-18|oncgraphics/boces                          |          89|           89|2015-01-18 23:35:18.000|                  1|              1|                    7|2015-01-18 09:41:21.000|              1|                    7|2015-01-18 09:44:06.000|
2015-02-09|CocoaPods/Specs                            |          88|           89|2015-02-09 23:26:28.000|                  2|              3|                12949|2015-02-09 14:53:03.000|              4|                12949|2015-02-09 16:11:04.000|
2015-02-09|edx/edx-platform                           |          88|          562|2015-02-09 23:31:29.000|                 25|             14|                 6940|2015-02-09 23:04:46.000|             13|                 6936|2015-02-09 21:28:56.000|
2015-01-28|thinkshout/ocean-outcomes                  |          88|           97|2015-01-28 23:54:33.000|                  3|              1|                   19|2015-01-28 00:11:07.000|              1|                   19|2015-01-28 00:11:13.000|
2015-02-10|Redew/minun                                |          87|          137|2015-02-10 22:03:24.000|                  1|             38|                   40|2015-02-10 22:03:20.000|             38|                   40|2015-02-10 22:03:23.000|
2015-01-13|JTrefzger/TMKN_kernel_m8                   |          87|          233|2015-01-13 23:55:53.000|                  1|              2|                    2|2015-01-13 01:40:48.000|              2|                    2|2015-01-13 01:40:53.000|
2015-01-24|beer-chronicles/beer-chronicles            |          87|          187|2015-01-24 23:37:47.000|                  4|              1|                    1|2015-01-24 17:16:18.000|              1|                    1|2015-01-24 17:17:33.000|
2015-02-15|JohnReedLOL/Nineteen_Characters            |          86|          271|2015-02-15 23:39:05.000|                  8|             19|                   58|2015-02-15 23:00:55.000|             20|                   58|2015-02-15 23:01:14.000|
2015-01-13|cms-sw/cmssw                               |          86|          832|2015-01-13 22:07:31.000|                  3|              9|                 7159|2015-01-13 16:48:41.000|             43|                 7159|2015-01-13 21:51:42.000|
2015-01-27|CocoaPods/Specs                            |          86|           86|2015-01-27 22:26:30.000|                  1|              2|                12933|2015-01-27 08:54:06.000|              1|                12931|2015-01-27 01:04:26.000|
2015-01-28|CocoaPods/Specs                            |          86|           87|2015-01-28 23:59:06.000|                  3|              1|                12934|2015-01-28 12:07:16.000|              1|                12934|2015-01-28 17:35:04.000|
2015-01-23|jeff1evesque/geolocation-web               |          85|          281|2015-01-23 21:48:04.000|                  1|             21|                  121|2015-01-23 21:48:02.000|             21|                  121|2015-01-23 21:48:04.000|
2015-01-24|marlfox/climb                              |          85|          281|2015-01-24 23:30:09.000|                  4|             14|                   14|2015-01-24 23:04:21.000|             14|                   14|2015-01-24 23:05:03.000|
2015-02-08|itinerate/itinerate.github.io              |          85|          119|2015-02-08 20:50:11.000|                  4|              1|                    1|2015-02-08 02:29:38.000|              1|                    1|2015-02-08 11:35:19.000|
2015-01-19|caskdata/cdap                              |          85|          508|2015-01-19 23:54:56.000|                 12|             14|                 1024|2015-01-19 23:57:24.000|             17|                 1021|2015-01-19 23:53:07.000|
2015-01-16|cms-sw/cmssw                               |          85|          599|2015-01-16 23:59:19.000|                  3|             39|                 7247|2015-01-16 22:39:05.000|             44|                 7247|2015-01-16 23:51:17.000|
