event_date|actor                         |push_count|pr_count|total_commits|last_activity          |
2015-01-06|cmsbuild                      |        82|      25|          391|2015-01-06 22:06:48.000|
2015-02-06|KorriganK                     |        82|       2|          101|2015-02-06 15:11:08.000|
2015-02-13|bdw429s                       |        82|       1|          142|2015-02-13 21:35:39.000|
2015-01-28|mikeizbicki                   |        82|       4|           97|2015-01-28 23:02:15.000|
2015-01-27|alexcrichton                  |        82|       7|          126|2015-01-27 22:56:57.000|
2015-02-12|k-okada                       |        82|      37|          225|2015-02-12 20:31:48.000|
2015-02-11|Redew                         |        82|      73|          127|2015-02-11 23:57:03.000|
2015-02-10|TheDash                       |        82|      19|          191|2015-02-10 20:39:47.000|
2015-02-15|alexcrichton                  |        81|       3|           86|2015-02-15 23:57:03.000|
2015-02-05|tmcw                          |        81|       1|           83|2015-02-05 22:24:57.000|
2015-02-04|brianchandotcom               |        81|      33|          343|2015-02-04 23:18:31.000|
2015-01-17|openstack-gerrit              |        81|       1|          121|2015-01-17 22:49:55.000|
2015-02-14|alexcrichton                  |        81|       6|           85|2015-02-14 23:04:31.000|
2015-02-14|tmknom                        |        81|       6|           86|2015-02-14 19:26:34.000|
2015-01-02|hxkclan                       |        81|      38|          242|2015-01-02 20:44:58.000|
